"","2001","2002","2003","2004","2005","2006","2010","2011","2012","2013","2014"
"2001",NA,NA,0.0413858055834259,NA,0,0,0,-0.0221678738281128,-0.0182408723138938,0.00166874291921647,0.00596830706974621
"2002",NA,NA,0.0334059272021705,NA,0,0,0,-0.0125150494122368,-0.00032161612100809,-2.69461018548745e-05,-0.00420105958697303
"2003",-0.0185235184301336,-0.0167495790849136,NA,0.0433582282324952,0,0,0,0.0282722009898089,0.0175266360531138,0.0120628570279595,0.014658529853141
"2004",NA,NA,-0.0047726238589235,NA,0,0,0,0.0199084951156176,0.0405752054974066,0.0418707771087165,0.0311115070112722
"2005",0,0,0,0,NA,0,0,0,0,0,0
"2006",0,0,0,0,0,NA,0,0,0,0,0
"2010",0,0,0,0,0,0,NA,0,0,0,0
"2011",0.0311096952756403,0.0275939015549112,0.0752507446341242,0.0523001563386689,0,0,0,NA,0.0161974365019294,0.0190325232928367,-0.000656293435601383
"2012",-0.0167123167642217,-0.0193215961252764,-0.00236506412183781,0.0188060606102648,0,0,0,0.0834633634193115,NA,-0.011808052840951,-0.00596006304222191
"2013",-0.0136662918203703,-0.0213473388700088,-0.0154766721369839,0.00375814040339633,0,0,0,0.0917446029434392,-0.00412976376412917,NA,-0.00343609882573364
"2014",-0.0054292505397077,-0.0138120840589728,-0.00493123807691268,0.0111010936818192,0,0,0,0.0616224744765241,0.00749282340474564,-0.0183059923435711,NA
